Время,ЦА 1,ЦА 2,ЦА 3,ЦА 4,Параметр квартир 1,Параметр квартир 2,Внешний фактор 1,Внешний фактор 2,Внешний фактор 3,Внешний фактор 4,Студии,1 комн,2 комн,3 комн и более,Целевые сделки,sin_season,cos_season,ЦА 1_lag1,ЦА 2_lag1,ЦА 3_lag1,ЦА 4_lag1,Параметр квартир 1_lag1,Параметр квартир 2_lag1,Внешний фактор 1_lag1,Внешний фактор 2_lag1,Внешний фактор 3_lag1,Внешний фактор 4_lag1,Студии_lag1,1 комн_lag1,2 комн_lag1,3 комн и более_lag1,Целевые сделки_lag1
2024-08-01,0.8571428571428571,0.023809523809523808,0.07142857142857142,0.047619047619047616,300.0,41.8,8859,29940,6014,18.0,188,701,535,113,1537,0.49999999999999994,0.8660254037844387,0.9090909090909091,0.045454545454545456,0.045454545454545456,0.0,305.0,42.2,6325.0,29920.0,64548.0,16.0,104.0,466.0,325.0,79.0,974.0
2024-09-01,0.875,0.05,0.075,0.0,298.0,41.7,9765,32017,5943,18.5,265,854,550,139,1830,0.8660254037844386,0.5000000000000001,0.8571428571428571,0.023809523809523808,0.07142857142857142,0.047619047619047616,300.0,41.8,8859.0,29940.0,6014.0,18.0,188.0,701.0,535.0,113.0,1537.0
2024-10-01,0.9722222222222222,0.027777777777777776,0.0,0.0,300.0,41.6,10536,39279,6388,19.0,389,976,663,168,2196,1.0,6.123233995736766e-17,0.875,0.05,0.075,0.0,298.0,41.7,9765.0,32017.0,5943.0,18.5,265.0,854.0,550.0,139.0,1830.0
2024-11-01,0.8484848484848485,0.12121212121212122,0.030303030303030304,0.0,302.0,41.4,10814,40948,7156,21.0,637,1296,737,132,2802,0.8660254037844387,-0.4999999999999998,0.9722222222222222,0.027777777777777776,0.0,0.0,300.0,41.6,10536.0,39279.0,6388.0,19.0,389.0,976.0,663.0,168.0,2196.0
2024-12-01,0.6071428571428571,0.10714285714285714,0.25,0.03571428571428571,284.6,41.3,13622,44154,6302,21.0,905,1404,915,261,3485,0.49999999999999994,-0.8660254037844387,0.8484848484848485,0.12121212121212122,0.030303030303030304,0.0,302.0,41.4,10814.0,40948.0,7156.0,21.0,637.0,1296.0,737.0,132.0,2802.0
2025-01-01,0.390625,0.21875,0.296875,0.09375,305.0,41.3,9743,46282,6643,21.0,772,1570,855,221,3400,1.2246467991473532e-16,-1.0,0.6071428571428571,0.10714285714285714,0.25,0.03571428571428571,284.6,41.3,13622.0,44154.0,6302.0,21.0,905.0,1404.0,915.0,261.0,3485.0
2025-02-01,0.5102040816326531,0.22448979591836735,0.24489795918367346,0.02040816326530612,295.0,41.2,12026,39802,5826,21.0,873,1946,1140,298,4257,-0.4999999999999997,-0.8660254037844388,0.390625,0.21875,0.296875,0.09375,305.0,41.3,9743.0,46282.0,6643.0,21.0,772.0,1570.0,855.0,221.0,3400.0
2025-03-01,0.6428571428571429,0.16071428571428573,0.14285714285714285,0.05357142857142857,290.8,41.3,11287,39129,5461,21.0,850,1696,952,249,3733,-0.8660254037844385,-0.5000000000000004,0.5102040816326531,0.22448979591836735,0.24489795918367346,0.02040816326530612,295.0,41.2,12026.0,39802.0,5826.0,21.0,873.0,1946.0,1140.0,298.0,4257.0
2025-04-01,0.5,0.2,0.28,0.02,300.0,41.9,9606,37167,5312,21.0,545,925,506,111,2087,-1.0,-1.8369701987210297e-16,0.6428571428571429,0.16071428571428573,0.14285714285714285,0.05357142857142857,290.8,41.3,11287.0,39129.0,5461.0,21.0,850.0,1696.0,952.0,249.0,3733.0
2025-05-01,0.6730769230769231,0.15384615384615385,0.17307692307692307,0.0,305.0,42.4,8677,33912,4633,21.0,417,736,403,97,1654,-0.8660254037844386,0.5000000000000001,0.5,0.2,0.28,0.02,300.0,41.9,9606.0,37167.0,5312.0,21.0,545.0,925.0,506.0,111.0,2087.0
2025-06-01,0.8214285714285714,0.03571428571428571,0.07142857142857142,0.07142857142857142,309.7,42.7,8946,29084,4714,20.0,450,740,420,91,1720,-0.5000000000000004,0.8660254037844384,0.6730769230769231,0.15384615384615385,0.17307692307692307,0.0,305.0,42.4,8677.0,33912.0,4633.0,21.0,417.0,736.0,403.0,97.0,1654.0
2025-07-01,0.8214285714285714,0.03571428571428571,0.07142857142857142,0.07142857142857142,315.0,43.4,6962,34589,4634,20.0,293,507,281,47,1700,-2.4492935982947064e-16,1.0,0.8214285714285714,0.03571428571428571,0.07142857142857142,0.07142857142857142,309.7,42.7,8946.0,29084.0,4714.0,20.0,450.0,740.0,420.0,91.0,1720.0
